prompt,Data_address,Label,Related,Problem Type
"The data of the store offers several styles of Nike shoes is provided in ""Nike Shoes Sales.csv"". Through the dataset, the revenue of each shoes is listed in the column ""revenue"". The demand for each style is independent. The store__ objective is to maximize the total expected revenue based on the fixed initial inventories of the Nike x Olivia Kim brand, which are detailed in column __nventory._ During the sales horizon, no replenishment is allowed, and there are no in-transit inventories. Customer arrivals, corresponding to demand for different styles of Nike shoes, occur in each period according to a Poisson process, with arrival rates specified in column __emand._ Moreover, the trade will be started only when the total demand is no less than 100 to ensure the trading efficiency. The decision variables y_i represent the number of customer requests the store intends to fulfill for Nike shoe style i, with each y_i being a positive integer.
","NRM_example/nike Shoes Sales.csv
","Maximize
   11197 x_1 + 9097 x_2 + 11197 x_3 + 9995 x_4
Subject To
   inventory_constraint: 
   x_1 <= 97
   x_2 <= 240
   x_3 <= 322
   x_4 <= 281
   demand_constraint: 
   x_1 <= 17
   x_2 <= 26
   x_3 <= 50
   x_4 <= 53
   startup_constraint:
   x_1+x_2+x_3+x_4 >=100
Where
x_i represents the number of customer requests the store intends to fulfill for Nike x Olivia Kim shoe style i, with each x_i being a positive integer.

","Nike x OliviaKim
",Network Revenue Management Problem
"In a well-known coffee shop, there are two signature drinks (D1 and D2), each bringing in a profit of w_1 and w_2 respectively, , recorded in the 'Revenue' column. The data is avaiable in ""CoffeeShop.csv"". The demand for each drink varies independently. The coffee shop's goal is to decide which customer orders to fulfill during a specific busy period [0,10] to maximize the total expected revenue, based on the available ingredients. The current inventory for these drinks is c_1 and c_2 respectively, as recorded in the 'Initial Inventory' column. During this period, restocking is not possible, and no additional supplies are expected. Customers interested in ordering D1 and D2 arrive at the shop according to a Poisson process, with arrival rates a_1 and a_2 respectively. The demand information are specified in the 'Demand' column. The decision variables y_1 and y_2 represent the number of orders the coffee shop plans to fulfill for each of the two drinks, and these variables must be positive integers.",,,,Network Revenue Management Problem
"In a popular bakery, there are three specialty pastries (S1, S2, S3), each offering a profit of w_1, w_2, and w_3 respectively, as listed in the column ""revenue"" of the provided dataset ""BakerySales.csv"". The demand for each pastry is distinct and varies from customer to customer. The bakery's goal is to determine which customer orders to fulfill during a single busy morning to maximize the total revenue, based on the limited quantity of pastries available. The current stock for these pastries is c_1, c_2, and c_3 respectively that can be found in the column ""inventory"". Restocking is not an option during this period, and no additional batches will be made. Customers looking to purchase P1, P2, and P3 arrive at the bakery according to a Poisson process, with arrival rates a_1, a_2, and a_3 specified in the column ""demand"" respectively. The decision variables y_1, y_2, and y_3 represent the number of orders the bakery plans to fulfill for each of the three pastries, and these must be positive integers.",,,,Network Revenue Management Problem
"There are three best-selling items (P1, P2, P3) on Amazon with the profit w_1,w_2,w_3  listed in the ""revenue"" column of the provided dataset ""Amazon.csv"".There is an independent demand stream for each of the products. The objective of the company is to decide which demands to be fufilled over a sales horizon [0,10] to maximize the total expected revenue from initial inventories. The on-hand inventories for the three items are c_1,c_2,c_3 respectively that can be found in the ""inventory"" colum. During the sales horizon, replenishment is not allowed and there is no any in-transit inventories. Customers who want to purchase P1,P2,P3 arrive at each period accoring to a Poisson process with a_1,a_2,a_3 the arrival rates respectively. Decision variables y_1,y_2,y_3 correspond to the number of requests that the firm plans to fulfill for product 1,2,3. These variables are all positive integers.",,,,Network Revenue Management Problem
"There are three popular items (M1,M2, M3) in a local supermarket, each with a profit margin of w_1, w_2, and w_3 respectively listed in the ""revenue"" column of the dataset ""Supermarket.csv"". Each product has its own independent demand stream. The supermarket's goal is to determine which customer demands to meet over a fixed sales period [0,20] to maximize the total expected revenue based on the current stock levels. The inventory capacity for these three items is c_1, c_2, and c_3 respectively that can be found in the ""inventory"" column. During the sales period, restocking is not possible, and there are no goods currently being shipped. Customers who wish to buy P1, P2, and P3 arrive during each period following a Poisson process, with arrival rates of a_1, a_2, and a_3 respectively , specified in the ""demand"" column.. The decision variables y_1, y_2, and y_3 represent the number of requests the supermarket plans to fulfill for products 1, 2, and 3, respectively. These decision variables must be positive integers.",,,,Network Revenue Management Problem
"A logistics compnay EW needs to load three types of of products, M1,M2,M3 into a fleet of delivery trucks. To be more specific, there are two trucks T1,T2. For each product, the company has a ""products.csv"" file that records a predefined value v_1,v_2,v_3 and a particular weight w_1,w_2,w_3. Each truck has a specific weight capacity c_1,c_2 that are detailed in the ""capacity.csv"" file. The objective is to determine how many units of each product to load into each truck so that the total value of the products loaded across all trucks can be maximized and the total weight of the products loaded in each truck does not exceed the truck's weight capacity. The decision variables x_11, x_12, x_13, x_21, x_22, and x_23 represent the number of units of product M1,M2,M3 loaded into the truck T1,T2. For example, x_12 denotes the specific number of product M2 carried by the truck T1. ",,,,Resource Allocation
"A healthcare logistics company, HS, needs to distribute three types of medical supplies M1,M2, M3 to two regional medical centers R1 and R2. Each center has a specific storage capacity, denoted as c_2,c_2 that is provided in __apacity.csv_. Each supply type has a predefined profit p_1,p_2,p_3 and a specific weight w_1,w_2,w_3, provided in 'products.csv'. The goal is to determine the number of units of each medical supply to be delivered to and between the centers in such a way that the total value of supplies is maximized, while ensuring that the weight of supplies at each center does not exceed its capacity. The decision variables x_11, x_12, x_13, x_21, x_22, and x_23 represent the number of units of medical supplies M1,M2,M3 distributed into the regional medical centers R1,R2. ",,,,Resource Allocation
"An e-commerce company needs to allocate warehouse space for three product lines, L1, L2, and L3, across two warehouses W1 and W2. Each warehouse has a storage capacity c_1, c_2 that can be found in the ""capacity.csv"" file, and each product line has a value r_1, r_2, r_3 and a required space s_1, s_2, s_3 as recorded in the ""products.csv"" file . The objective is to determine how many units of each product line to store in each warehouse to maximize revenue without exceeding storage capacity. The decision variables x_11, x_12, x_13, x_21, x_22, x_23 represent the units of product lines L1, L2, and L3 stored in warehouses W1 and W2. For example, x_12 denotes the units of product line L2 stored in warehouse W1.",,,,Resource Allocation
"A beverage company needs to allocate three different flavors of drinks, F1, F2, and F3, across two distribution centers D1 and D2. Each distribution center has a maximum storage capacity c_1, c_2 as detailed in 'capacity.csv'. The 'products.csv' provides the predefined value v_1, v_2, v_3 and volume per unit v_1, v_2, v_3 of each drink flavor. The objective is to determine how many units of each flavor to store in each distribution center to maximize total profit while not exceeding the storage capacities. The decision variables x_11, x_12, x_13, x_21, x_22, x_23 represent the units of flavors F1, F2, and F3 stored in distribution centers D1 and D2. For example, x_12 denotes the number of units of flavor F2 stored in distribution center D1.",,,,Resource Allocation
"A supermarket needs to allocate various products, including high-demand items like the Sony Alpha Refrigerator, Sony Bravia XR, and Sony PlayStation 5, across different retail shelves. The product values and space requirements are provided in the ""Products.csv"" dataset. Additionally, the store has multiple shelves, each with a total space limit and specific space constraints for Sony and Apple products, as outlined in the ""Capacity.csv"" file. The goal is to determine the optimal number of units of each Sony product to place on each shelf to maximize total value while ensuring that the space used by Sony products on each shelf does not exceed the brand-specific limits. The decision variables x_ij represent the number of units of product i to be placed on shelf j.
","RA_example/capacity.csv
RA_example/products.csv
","Maximize
   1818 x_0_0 + 1818 x_0_1 + 1818 x_0_2 + 1818 x_0_3 + 1818 x_0_4 + 1818 x_0_5 + 1609 x_1_0 + 1609 x_1_1 + 1609 x_1_2 + 1609 x_1_3 + 1609 x_1_4 + 1609 x_1_5 + 509 x_2_0 + 509 x_2_1 + 509 x_2_2 + 509 x_2_3 + 509 x_2_4 + 509 x_2_5 + 1808 x_3_0 + 1808 x_3_1 + 1808 x_3_2 + 1808 x_3_3 + 1808 x_3_4 + 1808 x_3_5 + 528 x_4_0 + 528 x_4_1 + 528 x_4_2 + 528 x_4_3 + 528 x_4_4 + 528 x_4_5 
   
Subject To
 capacity_constraint: 
 400 x_0_0 + 200 x_1_0 + 40 x_2_0 + 60 x_3_0 + 50 x_4_0 <= 1200
 400 x_0_1 + 200 x_1_1 + 40 x_2_1 + 60 x_3_1 + 50 x_4_1 <= 1374
 400 x_0_2 + 200 x_1_2 + 40 x_2_2 + 60 x_3_2 + 50 x_4_2 <= 800
 400 x_0_3 + 200 x_1_3 + 40 x_2_3 + 60 x_3_3 + 50 x_4_3 <= 2042
 400 x_0_4 + 200 x_1_4 + 40 x_2_4 + 60 x_3_4 + 50 x_4_4 <= 1000
 400 x_0_5 + 200 x_1_5 + 40 x_2_5 + 60 x_3_5 + 50 x_4_5 <= 1800

Generals
 x_0_0  x_0_1  x_0_2  x_0_3  x_0_4  x_0_5
 x_1_0  x_1_1  x_1_2  x_1_3  x_1_4  x_1_5
 x_2_0  x_2_1  x_2_2  x_2_3  x_2_4  x_2_5
 x_3_0  x_3_1  x_3_2  x_3_3  x_3_4  x_3_5
 x_4_0  x_4_1  x_4_2  x_4_3  x_4_4  x_4_5
END

","Sony
",Resource Allocation
