Query,obj,LLM Revenue,model,code,Our Set,Optimal Set,LLM Count,
"Based on flight ticket options provided in the table, along with their average passengers (Avg Pax), average prices (Avg Price), and capacity coefficients (Flex Cpy Coef), considering that each Eco_flex ticket consumes 2 units of flight capacity and each Eco_lite ticket consumes 1 unit of capacity, while enforcing flow conservation constraints at each airport for long-term planning model, develop a Sales-Based Linear Programming (SBLP) model. 

The goal of this model is to recommend the optimal 3 flights that maximize total ticket sale revenue, specifically among flights where the origin-destination pairs are: 
OD = ('A', 'B') or OD = ('A', 'C') or OD = ('B', 'A') or OD = ('B', 'C') or ('C', 'A') or ('C', 'B') in a departure period (7am-3:40pm) in which the optional flights are:
[(OD = ('C', 'A') AND Departure Time='7:40'),
(OD = ('C', 'B') AND Departure Time='7:40'),
(OD = ('B', 'A') AND Departure Time='9:05'),
(OD = ('B', 'C') AND Departure Time='9:05'),
(OD = ('C', 'B') AND Departure Time='10:45'),
(OD = ('A', 'B') AND Departure Time='11:20'),
(OD = ('B', 'C') AND Departure Time='11:20'),
(OD = ('B', 'A') AND Departure Time='12:25'),
(OD = ('B', 'C') AND Departure Time='12:25'),
(OD = ('C', 'B') AND Departure Time='12:35'),
(OD = ('A', 'B') AND Departure Time='12:40'),
(OD = ('A', 'B') AND Departure Time='12:55'),
(OD = ('A', 'C') AND Departure Time='13:05'),
(OD = ('A', 'B') AND Departure Time='13:55'),
(OD = ('C', 'A') AND Departure Time='14:15'),
(OD = ('C', 'B') AND Departure Time='14:15'),
(OD = ('B', 'A') AND Departure Time='14:25'),
(OD = ('B', 'C') AND Departure Time='14:25'),
(OD = ('B', 'A') AND Departure Time='15:40'),
(OD = ('B', 'C') AND Departure Time='15:40')]",274294.7697,275590.146,"{'y_CA07:40': 1.0, 'y_BC11:20': 1.0, 'y_AB13:55': 1.0}",,"AB11:20,AB12:40,AB13:55","AB11:20,AB12:40,AB13:55",1,
"Based on flight ticket options provided in the table, along with their average passengers (Avg Pax), average prices (Avg Price), and capacity coefficients (Flex Cpy Coef), considering that each Eco_flex ticket consumes 3 units of flight capacity and each Eco_lite ticket consumes 1 unit of capacity, while enforcing flow conservation constraints at each airport for long-term planning model, develop a Sales-Based Linear Programming (SBLP) model. 

The goal of this model is to recommend the optimal 5 flights that maximize total ticket sale revenue, specifically among flights where the origin-destination pairs are: 
OD = ('A', 'B') or OD = ('A', 'C') or OD = ('B', 'A') or OD = ('B', 'C') or ('C', 'A') or ('C', 'B') in a departure period (7am-3:40pm) in which the optional flights are:
[(OD = ('C', 'A') AND Departure Time='7:40'),
(OD = ('C', 'B') AND Departure Time='7:40'),
(OD = ('B', 'A') AND Departure Time='9:05'),
(OD = ('B', 'C') AND Departure Time='9:05'),
(OD = ('C', 'B') AND Departure Time='10:45'),
(OD = ('A', 'B') AND Departure Time='11:20'),
(OD = ('B', 'C') AND Departure Time='11:20'),
(OD = ('B', 'A') AND Departure Time='12:25'),
(OD = ('B', 'C') AND Departure Time='12:25'),
(OD = ('C', 'B') AND Departure Time='12:35'),
(OD = ('A', 'B') AND Departure Time='12:40'),
(OD = ('A', 'B') AND Departure Time='12:55'),
(OD = ('A', 'C') AND Departure Time='13:05'),
(OD = ('A', 'B') AND Departure Time='13:55'),
(OD = ('C', 'A') AND Departure Time='14:15'),
(OD = ('C', 'B') AND Departure Time='14:15'),
(OD = ('B', 'A') AND Departure Time='14:25'),
(OD = ('B', 'C') AND Departure Time='14:25'),
(OD = ('B', 'A') AND Departure Time='15:40'),
(OD = ('B', 'C') AND Departure Time='15:40')]",424600.2566,476779.634,,,"CA07:40,CA16:55,CA18:30","CA07:40,CA16:55,CA18:30",1,
"Based on flight ticket options provided in the table, along with their average passengers (Avg Pax), average prices (Avg Price), and capacity coefficients (Flex Cpy Coef), considering that each Eco_flex ticket consumes 3 units of flight capacity and each Eco_lite ticket consumes 1 unit of capacity, while enforcing flow conservation constraints at each airport for long-term planning model, develop a Sales-Based Linear Programming (SBLP) model. 

The goal of this model is to recommend the optimal 10 flights that maximize total ticket sale revenue, specifically among flights where the origin-destination pairs are: 
OD = ('A', 'B') or OD = ('A', 'C') or OD = ('B', 'A') or OD = ('B', 'C') or ('C', 'A') or ('C', 'B') in a departure period (7am-3:40pm) in which the optional flights are:
[(OD = ('C', 'A') AND Departure Time='7:40'),
(OD = ('C', 'B') AND Departure Time='7:40'),
(OD = ('B', 'A') AND Departure Time='9:05'),
(OD = ('B', 'C') AND Departure Time='9:05'),
(OD = ('C', 'B') AND Departure Time='10:45'),
(OD = ('A', 'B') AND Departure Time='11:20'),
(OD = ('B', 'C') AND Departure Time='11:20'),
(OD = ('B', 'A') AND Departure Time='12:25'),
(OD = ('B', 'C') AND Departure Time='12:25'),
(OD = ('C', 'B') AND Departure Time='12:35'),
(OD = ('A', 'B') AND Departure Time='12:40'),
(OD = ('A', 'B') AND Departure Time='12:55'),
(OD = ('A', 'C') AND Departure Time='13:05'),
(OD = ('A', 'B') AND Departure Time='13:55'),
(OD = ('C', 'A') AND Departure Time='14:15'),
(OD = ('C', 'B') AND Departure Time='14:15'),
(OD = ('B', 'A') AND Departure Time='14:25'),
(OD = ('B', 'C') AND Departure Time='14:25'),
(OD = ('B', 'A') AND Departure Time='15:40'),
(OD = ('B', 'C') AND Departure Time='15:40')]",771640.3999,118065.418,,,CB7:40 CB10:45 CB 14:15,CB7:40 CB10:45 CB 14:15,1,
"Based on flight ticket options provided in the table, along with their average passengers (Avg Pax), average prices (Avg Price), and capacity coefficients (Flex Cpy Coef), considering that each Eco_flex ticket consumes 3 units of flight capacity and each Eco_lite ticket consumes 1 unit of capacity, while enforcing flow conservation constraints at each airport for long-term planning model, develop a Sales-Based Linear Programming (SBLP) model. 

The goal of this model is to recommend the optimal 10 flights that maximize total ticket sale revenue, specifically among flights where the origin-destination pairs are: 
OD = ('A', 'B') or OD = ('A', 'C') or OD = ('B', 'A') or OD = ('B', 'C') or ('C', 'A') or ('C', 'B') in a departure period (7am-4:05pm) in which the optional flights are:
[(OD = ('C', 'A') AND Departure Time='7:40'),
(OD = ('C', 'B') AND Departure Time='7:40'),
(OD = ('B', 'A') AND Departure Time='9:05'),
(OD = ('B', 'C') AND Departure Time='9:05'),
(OD = ('C', 'B') AND Departure Time='10:45'),
(OD = ('A', 'B') AND Departure Time='11:20'),
(OD = ('B', 'C') AND Departure Time='11:20'),
(OD = ('B', 'A') AND Departure Time='12:25'),
(OD = ('B', 'C') AND Departure Time='12:25'),
(OD = ('C', 'B') AND Departure Time='12:35'),
(OD = ('A', 'B') AND Departure Time='12:40'),
(OD = ('A', 'B') AND Departure Time='12:55'),
(OD = ('A', 'C') AND Departure Time='13:05'),
(OD = ('A', 'B') AND Departure Time='13:55'),
(OD = ('C', 'A') AND Departure Time='14:15'),
(OD = ('C', 'B') AND Departure Time='14:15'),
(OD = ('B', 'A') AND Departure Time='14:25'),
(OD = ('B', 'C') AND Departure Time='14:25'),
(OD = ('B', 'A') AND Departure Time='15:40'),
(OD = ('B', 'C') AND Departure Time='15:40'),
(OD = ('A', 'C') AND Departure Time='15:45'),
(OD = ('A', 'B') AND Departure Time='16:05')]",872544.0987,91162.0515,,,"BC11:20,BC16:30,BC19:05","BC11:20,BC16:30,BC19:05",1,
"Based on flight ticket options provided in the table, along with their average passengers (Avg Pax), average prices (Avg Price), and capacity coefficients (Flex Cpy Coef), considering that each Eco_flex ticket consumes 2 units of flight capacity and each Eco_lite ticket consumes 1 unit of capacity, while enforcing flow conservation constraints at each airport for long-term planning model, develop a Sales-Based Linear Programming (SBLP) model. 

The goal of this model is to recommend the optimal 5 flights that maximize total ticket sale revenue, specifically among flights where the origin-destination pairs are: 
OD = ('A', 'B') or OD = ('A', 'C') or OD = ('B', 'A') or OD = ('B', 'C') or ('C', 'A') or ('C', 'B') in a departure period (7am-4:05pm) in which the optional flights are:
[(OD = ('C', 'A') AND Departure Time='7:40'),
(OD = ('C', 'B') AND Departure Time='7:40'),
(OD = ('B', 'A') AND Departure Time='9:05'),
(OD = ('B', 'C') AND Departure Time='9:05'),
(OD = ('C', 'B') AND Departure Time='10:45'),
(OD = ('A', 'B') AND Departure Time='11:20'),
(OD = ('B', 'C') AND Departure Time='11:20'),
(OD = ('B', 'A') AND Departure Time='12:25'),
(OD = ('B', 'C') AND Departure Time='12:25'),
(OD = ('C', 'B') AND Departure Time='12:35'),
(OD = ('A', 'B') AND Departure Time='12:40'),
(OD = ('A', 'B') AND Departure Time='12:55'),
(OD = ('A', 'C') AND Departure Time='13:05'),
(OD = ('A', 'B') AND Departure Time='13:55'),
(OD = ('C', 'A') AND Departure Time='14:15'),
(OD = ('C', 'B') AND Departure Time='14:15'),
(OD = ('B', 'A') AND Departure Time='14:25'),
(OD = ('B', 'C') AND Departure Time='14:25'),
(OD = ('B', 'A') AND Departure Time='15:40'),
(OD = ('B', 'C') AND Departure Time='15:40'),
(OD = ('A', 'C') AND Departure Time='15:45'),
(OD = ('A', 'B') AND Departure Time='16:05')]",505966.7281,117631.275,,,"BC11:20,BC12:25,BC15:40,BC16:30,BC19:05","BC11:20,BC12:25,BC15:40,BC16:30,BC19:05",1,
"Based on flight ticket options provided in the table, along with their average passengers (Avg Pax), average prices (Avg Price), and capacity coefficients (Flex Cpy Coef), considering that each Eco_flex ticket consumes 1.2 units of flight capacity and each Eco_lite ticket consumes 1 unit of capacity, while enforcing flow conservation constraints at each airport for long-term planning model, develop a Sales-Based Linear Programming (SBLP) model. 

The goal of this model is to recommend the optimal 14 flights that maximize total ticket sale revenue, specifically among flights where the origin-destination pairs are: 
OD = ('A', 'B') or OD = ('A', 'C') or OD = ('B', 'A') or OD = ('B', 'C') or ('C', 'A') or ('C', 'B') in a departure period (7am-4:05pm) in which the optional flights are:
[(OD = ('C', 'A') AND Departure Time='7:40'),
(OD = ('C', 'B') AND Departure Time='7:40'),
(OD = ('B', 'A') AND Departure Time='9:05'),
(OD = ('B', 'C') AND Departure Time='9:05'),
(OD = ('C', 'B') AND Departure Time='10:45'),
(OD = ('A', 'B') AND Departure Time='11:20'),
(OD = ('B', 'C') AND Departure Time='11:20'),
(OD = ('B', 'A') AND Departure Time='12:25'),
(OD = ('B', 'C') AND Departure Time='12:25'),
(OD = ('C', 'B') AND Departure Time='12:35'),
(OD = ('A', 'B') AND Departure Time='12:40'),
(OD = ('A', 'B') AND Departure Time='12:55'),
(OD = ('A', 'C') AND Departure Time='13:05'),
(OD = ('A', 'B') AND Departure Time='13:55'),
(OD = ('C', 'A') AND Departure Time='14:15'),
(OD = ('C', 'B') AND Departure Time='14:15'),
(OD = ('B', 'A') AND Departure Time='14:25'),
(OD = ('B', 'C') AND Departure Time='14:25'),
(OD = ('B', 'A') AND Departure Time='15:40'),
(OD = ('B', 'C') AND Departure Time='15:40'),
(OD = ('A', 'C') AND Departure Time='15:45'),
(OD = ('A', 'B') AND Departure Time='16:05')]",1180273.273,110505.66,,,"{'y_BC12:25': 1.0, 'y_BC11:20': 1.0, 'y_BC16:30': 1.0, 'y_BC19:05': 1.0}","{'y_BC12:25': 1.0, 'y_BC11:20': 1.0, 'y_BC16:30': 1.0, 'y_BC19:05': 1.0}",1,
"Based on flight ticket options provided in the table, along with their average passengers (Avg Pax), average prices (Avg Price), and capacity coefficients (Flex Cpy Coef), considering that each Eco_flex ticket consumes 1.2 units of flight capacity and each Eco_lite ticket consumes 1 unit of capacity, while enforcing flow conservation constraints at each airport for long-term planning model, develop a Sales-Based Linear Programming (SBLP) model. 

The goal of this model is to recommend the optimal 8 flights that maximize total ticket sale revenue, specifically among flights where the origin-destination pairs are: 
OD = ('A', 'B') or OD = ('A', 'C') or OD = ('B', 'A') or OD = ('B', 'C') or ('C', 'A') or ('C', 'B') in a departure period (0am-4:35pm) in which the optional flights are:[(OD = ('A', 'C') AND Departure Time='0:00'),
(OD = ('C', 'A') AND Departure Time='7:40'),
(OD = ('C', 'B') AND Departure Time='7:40'),
(OD = ('B', 'A') AND Departure Time='9:05'),
(OD = ('B', 'C') AND Departure Time='9:05'),
(OD = ('C', 'B') AND Departure Time='10:45'),
(OD = ('A', 'B') AND Departure Time='11:20'),
(OD = ('B', 'C') AND Departure Time='11:20'),
(OD = ('B', 'A') AND Departure Time='12:25'),
(OD = ('B', 'C') AND Departure Time='12:25'),
(OD = ('C', 'B') AND Departure Time='12:35'),
(OD = ('A', 'B') AND Departure Time='12:40'),
(OD = ('A', 'B') AND Departure Time='12:55'),
(OD = ('A', 'C') AND Departure Time='13:05'),
(OD = ('A', 'B') AND Departure Time='13:55'),
(OD = ('C', 'A') AND Departure Time='14:15'),
(OD = ('C', 'B') AND Departure Time='14:15'),
(OD = ('B', 'A') AND Departure Time='14:25'),
(OD = ('B', 'C') AND Departure Time='14:25'),
(OD = ('B', 'A') AND Departure Time='15:40'),
(OD = ('B', 'C') AND Departure Time='15:40'),
(OD = ('A', 'C') AND Departure Time='15:45'),
(OD = ('A', 'B') AND Departure Time='16:05'),
(OD = ('B', 'C') AND Departure Time='16:30')]",815657.0977,390722.955,,,"AB11:20,AB12:40,AB13:55,AB17:05","AB11:20,AB12:40,AB13:55,AB17:05",1,
"Based on flight ticket options provided in the table, along with their average passengers (Avg Pax), average prices (Avg Price), and capacity coefficients (Flex Cpy Coef), considering that each Eco_flex ticket consumes 2 units of flight capacity and each Eco_lite ticket consumes 1 unit of capacity, while enforcing flow conservation constraints at each airport for long-term planning model, develop a Sales-Based Linear Programming (SBLP) model. 

The goal of this model is to recommend the optimal 12 flights that maximize total ticket sale revenue, specifically among flights where the origin-destination pairs are: 
OD = ('A', 'B') or OD = ('A', 'C') or OD = ('B', 'A') or OD = ('B', 'C') or ('C', 'A') or ('C', 'B') in a departure period (0am-4:35pm) in which the optional flights are:[(OD = ('A', 'C') AND Departure Time='0:00'),
(OD = ('C', 'A') AND Departure Time='7:40'),
(OD = ('C', 'B') AND Departure Time='7:40'),
(OD = ('B', 'A') AND Departure Time='9:05'),
(OD = ('B', 'C') AND Departure Time='9:05'),
(OD = ('C', 'B') AND Departure Time='10:45'),
(OD = ('A', 'B') AND Departure Time='11:20'),
(OD = ('B', 'C') AND Departure Time='11:20'),
(OD = ('B', 'A') AND Departure Time='12:25'),
(OD = ('B', 'C') AND Departure Time='12:25'),
(OD = ('C', 'B') AND Departure Time='12:35'),
(OD = ('A', 'B') AND Departure Time='12:40'),
(OD = ('A', 'B') AND Departure Time='12:55'),
(OD = ('A', 'C') AND Departure Time='13:05'),
(OD = ('A', 'B') AND Departure Time='13:55'),
(OD = ('C', 'A') AND Departure Time='14:15'),
(OD = ('C', 'B') AND Departure Time='14:15'),
(OD = ('B', 'A') AND Departure Time='14:25'),
(OD = ('B', 'C') AND Departure Time='14:25'),
(OD = ('B', 'A') AND Departure Time='15:40'),
(OD = ('B', 'C') AND Departure Time='15:40'),
(OD = ('A', 'C') AND Departure Time='15:45'),
(OD = ('A', 'B') AND Departure Time='16:05'),
(OD = ('B', 'C') AND Departure Time='16:30')]",1070244.59,318074.822,,,"AB11:20,AB13:55,AB17:05","AB11:20,AB13:55,AB17:05",1,
"Based on flight ticket options provided in the table, along with their average passengers (Avg Pax), average prices (Avg Price), and capacity coefficients (Flex Cpy Coef), considering that each Eco_flex ticket consumes 3 units of flight capacity and each Eco_lite ticket consumes 1 unit of capacity, while enforcing flow conservation constraints at each airport for long-term planning model, develop a Sales-Based Linear Programming (SBLP) model. 

The goal of this model is to recommend the optimal 16 flights that maximize total ticket sale revenue, specifically among flights where the origin-destination pairs are: 
OD = ('A', 'B') or OD = ('A', 'C') or OD = ('B', 'A') or OD = ('B', 'C') or ('C', 'A') or ('C', 'B') in a departure period (0am-4:35pm) in which the optional flights are:[(OD = ('A', 'C') AND Departure Time='0:00'),
(OD = ('C', 'A') AND Departure Time='7:40'),
(OD = ('C', 'B') AND Departure Time='7:40'),
(OD = ('B', 'A') AND Departure Time='9:05'),
(OD = ('B', 'C') AND Departure Time='9:05'),
(OD = ('C', 'B') AND Departure Time='10:45'),
(OD = ('A', 'B') AND Departure Time='11:20'),
(OD = ('B', 'C') AND Departure Time='11:20'),
(OD = ('B', 'A') AND Departure Time='12:25'),
(OD = ('B', 'C') AND Departure Time='12:25'),
(OD = ('C', 'B') AND Departure Time='12:35'),
(OD = ('A', 'B') AND Departure Time='12:40'),
(OD = ('A', 'B') AND Departure Time='12:55'),
(OD = ('A', 'C') AND Departure Time='13:05'),
(OD = ('A', 'B') AND Departure Time='13:55'),
(OD = ('C', 'A') AND Departure Time='14:15'),
(OD = ('C', 'B') AND Departure Time='14:15'),
(OD = ('B', 'A') AND Departure Time='14:25'),
(OD = ('B', 'C') AND Departure Time='14:25'),
(OD = ('B', 'A') AND Departure Time='15:40'),
(OD = ('B', 'C') AND Departure Time='15:40'),
(OD = ('A', 'C') AND Departure Time='15:45'),
(OD = ('A', 'B') AND Departure Time='16:05'),
(OD = ('B', 'C') AND Departure Time='16:30')]",1166198.329,462621.849,,,"AB11:20,AB12:40,AB13:55,AB16:05,AB17:05","AB11:20,AB12:40,AB13:55,AB16:05,AB17:05",1,
"Based on flight ticket options provided in the table, along with their average passengers (Avg Pax), average prices (Avg Price), and capacity coefficients (Flex Cpy Coef), considering that each Eco_flex ticket consumes 1.2 units of flight capacity and each Eco_lite ticket consumes 1 unit of capacity, while enforcing flow conservation constraints at each airport for long-term planning model, develop a Sales-Based Linear Programming (SBLP) model. 

The goal of this model is to recommend the optimal 3 flights that maximize total ticket sale revenue, specifically among flights where the origin-destination pairs are: 
OD = ('A', 'B') or OD = ('A', 'C') or OD = ('B', 'A') or OD = ('B', 'C') or ('C', 'A') or ('C', 'B') in a departure period (7am-4:55pm) in which the optional flights are:

[(OD = ('A', 'C') AND Departure Time='0:00'),
(OD = ('C', 'A') AND Departure Time='7:40'),
(OD = ('C', 'B') AND Departure Time='7:40'),
(OD = ('B', 'A') AND Departure Time='9:05'),
(OD = ('B', 'C') AND Departure Time='9:05'),
(OD = ('C', 'B') AND Departure Time='10:45'),
(OD = ('A', 'B') AND Departure Time='11:20'),
(OD = ('B', 'C') AND Departure Time='11:20'),
(OD = ('B', 'A') AND Departure Time='12:25'),
(OD = ('B', 'C') AND Departure Time='12:25'),
(OD = ('C', 'B') AND Departure Time='12:35'),
(OD = ('A', 'B') AND Departure Time='12:40'),
(OD = ('A', 'B') AND Departure Time='12:55'),
(OD = ('A', 'C') AND Departure Time='13:05'),
(OD = ('A', 'B') AND Departure Time='13:55'),
(OD = ('C', 'A') AND Departure Time='14:15'),
(OD = ('C', 'B') AND Departure Time='14:15'),
(OD = ('B', 'A') AND Departure Time='14:25'),
(OD = ('B', 'C') AND Departure Time='14:25'),
(OD = ('B', 'A') AND Departure Time='15:40'),
(OD = ('B', 'C') AND Departure Time='15:40'),
(OD = ('A', 'C') AND Departure Time='15:45'),
(OD = ('A', 'B') AND Departure Time='16:05'),
(OD = ('B', 'C') AND Departure Time='16:30'),
(OD = ('C', 'A') AND Departure Time='16:55'),
(OD = ('C', 'B') AND Departure Time='16:55')]",308002.84,336806.097,"Objective Function: Maximize \sum_i (avg_price_f[i]*x_f[i] + avg_price_l[i]*x_l[i] )

Capacity Constraints:

capacity_consum*x_f[i] + x_l[i] <= 187

Balance Constraints:

ratio_f_list[i]* x_f[i] + ratio_l_list[i]* x_l[i] + ratio_0_list[i]* x_o[i] <= avg_pax_f[i] + avg_pax_l [i]

Scale Constraints:
x_f[i]/value_f_list[i] - x_o[i]/value_0_list[i] <=0
x_l[i]/value_l_list[i] - x_o[i]/value_0_list[i] <=0

M Constraints:

x_f[i] <= 10000* y[i]
x_l[i] <= 10000* y[i]
x_o[i] <= 10000* y[i]

Flow Conservation Constraints:

\sum_i \in sigma_inflow_A y[i] = \sum_i \in sigma_outflow_A y[i]

\sum_i \in sigma_inflow_B y[i] = \sum_i \in sigma_outflow_B y[i]

\sum_i \in sigma_inflow_C y[i] = \sum_i \in sigma_outflow_C y[i]

Cardinality Constraints:

\sum_i y[i] <= option_num

Nonnegative Constraints: x_f[i],x_l[i],x_o[i] >= 0

Binary Constraints: y[i] is binary, where decision variables are based on the list pt = ['AC00:00', 'CA07:40', 'CB07:40', 'BA9:05', 'BC9:05', 'CB10:45', 'AB11:20', 'BC11:20', 'BA12:25', 'BC12:25', 'CB12:35', 'AB12:40', 'AB12:55', 'AC13:05', 'AB13:55', 'CA14:15', 'CB14:15', 'BA14:25', 'BC14:25', 'BA15:40', 'BC15:40', 'AC15:45', 'AB16:05', 'BC16:30', 'CA16:55', 'CB16:55'], x_f = [x_code_f for code in pt], x_l = [x_code_l for code in pt], x_o = [x_code_o for code in pt], y = [y_code for code in pt] 
sigma_inflow_A = ['CA07:40', 'BA9:05', 'BA12:25', 'CA14:15', 'BA14:25', 'BA15:40', 'CA16:55'], sigma_outflow_A = ['AC00:00', 'AB11:20', 'AB12:40', 'AB12:55', 'AC13:05', 'AB13:55', 'AC15:45', 'AB16:05'], sigma_inflow_B = ['CB07:40', 'CB10:45', 'AB11:20', 'CB12:35', 'AB12:40', 'AB12:55', 'AB13:55', 'CB14:15', 'AB16:05', 'CB16:55'], sigma_outflow_B = ['BA9:05', 'BC9:05', 'BC11:20', 'BA12:25', 'BC12:25', 'BA14:25', 'BC14:25', 'BA15:40', 'BC15:40', 'BC16:30'], sigma_inflow_C = ['AC00:00', 'BC9:05', 'BC11:20', 'BC12:25', 'AC13:05', 'BC14:25', 'BC15:40', 'AC15:45', 'BC16:30'], sigma_outflow_C = ['CA07:40', 'CB07:40', 'CB10:45', 'CB12:35', 'CA14:15', 'CB14:15', 'CA16:55', 'CB16:55'] 

avg_pax_f=['138.64', '141.71', '22.79', '148.93', '17.5', '127.86', '160.71', '133.14', '103.79', '36.0', '156.57', '87.36', '131.43', '111.64', '142.43', '91.64', '33.71', '133.0', '9.4', '144.71', '11.69', '133.71', '167.79', '92.36', '149.29', '2.0'] 
avg_pax_l=['17.93', '17.0', '4.1', '17.21', '3.23', '15.5', '18.64', '14.5', '23.36', '3.79', '19.93', '25.0', '20.29', '23.79', '28.21', '17.86', '5.93', '28.93', '1.67', '22.71', '3.27', '20.5', '25.43', '6.36', '24.5', '2.4'] 
avg_price_f=['1653.2', '1656.11', '1484.6', '1443.6', '1489.26', '886.96', '1464.07', '873.59', '1479.64', '1520.65', '883.77', '1467.29', '856.66', '1663.16', '1477.78', '1638.05', '1510.9', '1480.24', '1521.05', '1475.99', '1544.13', '1669.65', '852.25', '907.06', '1665.33', '1583.0'] 
avg_price_l=['473.63', '476.24', '450.8', '424.67', '443.62', '263.88', '441.88', '269.24', '470.28', '596.44', '299.39', '505.8', '279.25', '565.96', '464.67', '531.5', '496.51', '470.65', '821.73', '444.2', '483.3', '506.95', '275.1', '268.12', '493.28', '558.48'] 
value_f_list =['2.671', '2.16', '2.16', '1.864', '1.864', '1.916', '2.05', '1.864', '3.079', '3.079', '2.826', '2.803', '2.803', '2.803', '2.803', '2.826', '2.826', '3.079', '3.079', '3.079', '3.079', '2.803', '2.803', '3.079', '2.826', '2.826']
ratio_f_list=['0.72', '0.97', '0.97', '0.9', '0.9', '0.97', '0.72', '0.9', '0.9', '0.9', '0.97', '0.72', '0.72', '0.72', '0.72', '0.97', '0.97', '0.9', '0.9', '0.9', '0.9', '0.72', '0.72', '0.9', '0.97', '0.97']
value_l_list=['1.303', '1.127', '1.127', '1', '1', '1', '1', '1', '1.652', '1.652', '1.475', '1.367', '1.367', '1.367', '1.367', '1.475', '1.475', '1.652', '1.652', '1.652', '1.652', '1.367', '1.367', '1.652', '1.475', '1.475']
ratio_l_list=['0.72', '0.97', '0.97', '0.9', '0.9', '0.97', '0.72', '0.9', '0.9', '0.9', '0.97', '0.72', '0.72', '0.72', '0.72', '0.97', '0.97', '0.9', '0.9', '0.9', '0.9', '0.72', '0.72', '0.9', '0.97', '0.97']
value_0_list=['0.9', '1.2', '1.2', '2.0', '2.0', '1.2', '0.9', '2.0', '2.0', '2.0', '1.2', '0.9', '0.9', '0.9', '0.9', '1.2', '1.2', '2.0', '2.0', '2.0', '2.0', '0.9', '0.9', '2.0', '1.2', '1.2']
ratio_0_list=['4.92', '1.72', '1.72', '3.7', '3.7', '1.72', '4.92', '3.7', '3.7', '3.7', '1.72', '4.92', '4.92', '4.92', '4.92', '1.72', '1.72', '3.7', '3.7', '3.7', '3.7', '4.92', '4.92', '3.7', '1.72', '1.72']
option_num = 3 

capacity_consum = 1.2",,"AB13:55,AB17:05,AC15:45","AB13:55,AB17:05,AC15:45",1,
